,53027
Period,1.0
Time [s],2121.08
Home_11_x,50.519600000000004
Home_11_y,-1.7156399999999983
Home_1_x,38.58718
Home_1_y,5.369959999999999
Home_2_x,43.00314
Home_2_y,-6.8550800000000045
Home_3_x,43.922160000000005
Home_3_y,-10.682119999999998
Home_4_x,40.27257999999999
Home_4_y,-18.36204
Home_5_x,31.757599999999996
Home_5_y,-9.308519999999998
Home_6_x,29.976800000000004
Home_6_y,1.6286000000000018
Home_7_x,33.60941999999999
Home_7_y,-16.665439999999997
Home_8_x,23.783219999999996
Home_8_y,16.16224
Home_9_x,8.802240000000001
Home_9_y,-8.651640000000004
Home_10_x,7.258879999999999
Home_10_y,1.095480000000001
Home_12_x,
Home_12_y,
Home_13_x,
Home_13_y,
Home_14_x,
Home_14_y,
ball_x,41.60606
ball_y,-9.44384
Home_1_vx,5.989000000005203
Home_1_vy,-4.012000000003686
Home_1_speed,7.208624348659868
Home_10_vx,0.9010000000008379
Home_10_vy,-0.5440000000004725
Home_10_speed,1.0524908550681207
Home_11_vx,-0.13250000000007817
Home_11_vy,0.9180000000008093
Home_11_speed,0.927512937915966
Home_12_vx,
Home_12_vy,
Home_12_speed,
Home_13_vx,
Home_13_vy,
Home_13_speed,
Home_14_vx,
Home_14_vy,
Home_14_speed,
Home_2_vx,1.3780000000013102
Home_2_vy,-1.73400000000179
Home_2_speed,2.2148679418894974
Home_3_vx,1.3515000000012236
Home_3_vy,2.4990000000023906
Home_3_speed,2.8410479140653817
Home_4_vx,0.9275000000009024
Home_4_vy,3.315000000003016
Home_4_speed,3.4423075472743094
Home_5_vx,4.240000000003922
Home_5_vy,1.2920000000012903
Home_5_speed,4.432478313543857
Home_6_vx,3.9220000000035924
Home_6_vy,-0.6630000000005111
Home_6_speed,3.977644152011195
Home_7_vx,1.5635000000012065
Home_7_vy,1.5130000000014736
Home_7_speed,2.175707068979699
Home_8_vx,1.987500000001883
Home_8_vy,-0.5270000000005123
Home_8_speed,2.0561822025316787
Home_9_vx,0.8480000000007756
Home_9_vy,-0.9010000000008601
Home_9_speed,1.2372974581736056
Period,1.0
Time [s],2121.08
Away_25_x,-31.56468
Away_25_y,2.13996
Away_15_x,16.71196
Away_15_y,-23.168280000000003
Away_16_x,4.484860000000007
Away_16_y,-10.587599999999997
Away_17_x,2.302319999999996
Away_17_y,4.851800000000002
Away_18_x,3.6760800000000047
Away_18_y,19.197760000000002
Away_19_x,35.570420000000006
Away_19_y,-18.090719999999997
Away_20_x,19.65346000000001
Away_20_y,-5.453600000000003
Away_21_x,9.348139999999999
Away_21_y,5.500519999999997
Away_22_x,27.210200000000004
Away_22_y,11.14384
Away_23_x,41.66966000000001
Away_23_y,-9.33776
Away_24_x,42.79007999999999
Away_24_y,2.7499199999999986
Away_26_x,
Away_26_y,
ball_x,41.60606
ball_y,-9.44384
Away_15_vx,2.0670000000018764
Away_15_vy,0.7820000000007716
Away_15_speed,2.209980316656455
Away_16_vx,2.1730000000023786
Away_16_vy,-0.5270000000005567
Away_16_speed,2.23599150266966
Away_17_vx,1.2720000000012521
Away_17_vy,-0.6800000000005436
Away_17_speed,1.442353632090246
Away_18_vx,0.45050000000041895
Away_18_vy,-1.5470000000012833
Away_18_speed,1.6112601434915306
Away_19_vx,1.4840000000014792
Away_19_vy,3.196000000002883
Away_19_speed,3.5237298420881844
Away_20_vx,2.9680000000030473
Away_20_vy,0.7480000000004736
Away_20_speed,3.060805122842485
Away_21_vx,1.1925000000012362
Away_21_vy,-0.7650000000007114
Away_21_speed,1.4167855342302296
Away_22_vx,3.6835000000033453
Away_22_vy,-0.8160000000007145
Away_22_speed,3.772801114560084
Away_23_vx,1.6430000000016443
Away_23_vy,2.720000000002352
Away_23_speed,3.1777112833009546
Away_24_vx,2.703000000002092
Away_24_vy,0.7990000000006764
Away_24_speed,2.818618455912824
Away_25_vx,0.1060000000000803
Away_25_vy,-0.1700000000001359
Away_25_speed,0.20033971149041627
Away_26_vx,
Away_26_vy,
Away_26_speed,
